age,salary,years_exp,department,performance_score
28,55000,3,Engineering,82
35,78000,10,Engineering,91
42,95000,18,Management,88
31,62000,6,Marketing,74
26,48000,2,Sales,68
38,83000,14,Engineering,95
29,57000,4,Marketing,79
45,102000,22,Management,93
33,69000,8,Sales,85
27,51000,3,Engineering,77
36,80000,11,Marketing,89
41,98000,17,Engineering,92
30,60000,5,Sales,71
43,105000,20,Management,96
25,46000,1,Sales,65
39,87000,15,Engineering,90
32,65000,7,Marketing,83
37,82000,13,Engineering,88
44,108000,21,Management,97
28,54000,4,Sales,72
34,73000,9,Marketing,86
40,92000,16,Engineering,91
26,50000,2,Engineering,78
31,63000,6,Sales,76
38,85000,14,Marketing,87
42,100000,19,Management,94
29,58000,4,Engineering,80
35,77000,11,Sales,84
27,52000,3,Marketing,75
33,68000,8,Engineering,83
